arrival_id,station_name,city,to_poi_id,to_poi_name,mode,line_name,transfer_note,duration_min,price,walk_min,note,src_confidence,verified,source_url,last_check_date
A001,上海虹桥,上海,P044,外滩,地铁,地铁2号线,虹桥火车站站直接乘 2 号线至南京东路站,40,7,10,最省事的一条；不用换乘,mid,0,,
A002,上海虹桥,上海,P044,外滩,打车,—,—,45,110,0,高峰期比地铁慢且贵,mid,0,,
A003,上海虹桥,上海,P046,豫园与城隍庙,地铁,地铁2号线转10号线,南京东路站换 10 号线至豫园站,50,7,5,一次换乘,mid,0,,
A004,上海虹桥,上海,P048,武康路与安福路,地铁,地铁10号线,虹桥火车站站直接乘 10 号线至上海图书馆站,35,6,8,直达不用换乘,mid,0,,
A005,上海虹桥,上海,P045,陆家嘴天桥,地铁,地铁2号线,虹桥火车站站直接乘 2 号线至陆家嘴站,45,8,3,直达,mid,0,,
A006,上海虹桥,上海,P047,上海博物馆东馆,地铁,地铁2号线转6号线,世纪大道站换 6 号线,55,8,12,一次换乘；东馆在浦东不要跑去人民广场,mid,0,,
A007,上海,上海,P044,外滩,地铁,地铁3号线或4号线,上海火车站换 1 号线至人民广场再步行,30,5,12,上海站比虹桥站离外滩更近,mid,0,,
A008,苏州,苏州,P058,平江路历史街区,步行,—,出站沿人民路向南约 1.5 公里,20,0,20,苏州站离平江路极近；走过去就行,mid,0,,
A009,苏州,苏州,P058,平江路历史街区,打车,—,—,10,12,0,起步价就能到,mid,0,,
A010,苏州,苏州,P056,拙政园,步行,—,出站向南步行约 1.2 公里,18,0,18,苏州站与拙政园几乎相邻,mid,0,,
A011,苏州,苏州,P057,留园,地铁,地铁2号线,苏州火车站站乘 2 号线至山塘街站,15,3,15,一站路,mid,0,,
A012,苏州,苏州,P061,虎丘,公交,游1路或949路,苏州站北广场乘车,25,2,5,无地铁直达,mid,0,,
A013,苏州北,苏州,P058,平江路历史街区,地铁,地铁2号线转4号线,高铁苏州北站乘 2 号线至苏州站换 4 号线,40,5,10,苏州北站在相城区；比苏州站远得多,mid,0,,
A014,南京南,南京,P068,夫子庙与秦淮河,地铁,地铁3号线,南京南站直接乘 3 号线至夫子庙站,25,4,5,直达；站名与景点同名,mid,0,,
A015,南京南,南京,P065,中山陵,地铁,地铁1号线转2号线,新模范马路站换 2 号线至下马坊站,50,5,20,一次换乘；下车后建议换景区观光车,mid,0,,
A016,南京南,南京,P064,明孝陵与神道,地铁,地铁1号线转2号线,换 2 号线至苜蓿园站,50,5,12,与中山陵同一景区可连着走,mid,0,,
A017,南京南,南京,P066,南京博物院,地铁,地铁1号线转2号线,换 2 号线至明故宫站,45,5,8,一次换乘,mid,0,,
A018,南京南,南京,P069,老门东,地铁,地铁3号线,南京南站乘 3 号线至武定门站,20,4,10,直达,mid,0,,
A019,南京南,南京,P070,台城明城墙,地铁,地铁1号线转3号线,换 3 号线至鸡鸣寺站,45,5,8,与鸡鸣寺同一入口,mid,0,,
A020,南京,南京,P068,夫子庙与秦淮河,地铁,地铁1号线转3号线,南京站乘 1 号线换 3 号线,25,4,5,南京站在城北,mid,0,,
A021,北京南,北京,P076,故宫博物院,地铁,地铁4号线转1号线,西单站换 1 号线至天安门东站,35,5,10,一次换乘；从午门进,mid,0,,
A022,北京南,北京,P079,天坛,地铁,地铁4号线转5号线,菜市口或崇文门方向换乘,30,4,5,也可打车约 20 分钟,mid,0,,
A023,北京南,北京,P083,南锣鼓巷与胡同区,地铁,地铁4号线转6号线,平安里站换 6 号线,40,5,3,一次换乘,mid,0,,
A024,北京南,北京,P082,雍和宫,地铁,地铁4号线转5号线,崇文门站换 5 号线至雍和宫站,40,5,3,一次换乘,mid,0,,
A025,北京南,北京,P080,颐和园,地铁,地铁4号线,北京南站直接乘 4 号线至北宫门站,55,6,5,直达但较远；全程近一小时,mid,0,,
A026,北京西,北京,P076,故宫博物院,地铁,地铁9号线转1号线,军事博物馆站换 1 号线至天安门西站,35,5,12,一次换乘,mid,0,,
A027,北京西,北京,P078,八达岭长城,动车,市郊铁路S2线,需先到北京北站或黄土店站换 S2 线,120,7,10,换乘麻烦；也可从德胜门坐 877 路直达,mid,0,,
A028,北京朝阳,北京,P084,798艺术区,打车,—,—,25,45,0,朝阳站离 798 较近；无直达地铁,mid,0,,
A029,北京,北京,P076,故宫博物院,地铁,地铁2号线转1号线,建国门站换 1 号线至天安门东站,30,4,10,北京站到故宫比南站近,mid,0,,
A030,杭州东,杭州,P024,西湖断桥与白堤,地铁,地铁1号线,杭州东站直接乘 1 号线至龙翔桥站,25,4,10,直达；龙翔桥是去西湖的标准下车点,mid,0,,
A031,杭州东,杭州,P028,灵隐寺与飞来峰,地铁,地铁1号线转公交,龙翔桥站换 7 路或游 2 线,55,6,5,无地铁直达灵隐；节假日公交也很挤,mid,0,,
