rule_id,poi_name,city,province,category,need_booking,platform_name,platform_type,platform_url,advance_days,release_time,release_mode,time_slot,daily_quota,difficulty,sellout_speed,need_id_card,need_companion_id,free_or_paid,ticket_price,backup_plan,backup_poi,peak_note,src_confidence,verified,source_url,last_check_date,note
BK001,故宫博物院,北京,北京,博物馆,1,故宫博物院小程序,官方小程序,https://ticket.dpm.org.cn/,7,20:00,fixed_time,1,,4,minutes,1,1,paid,60,携程美团飞猪为官方授权平台但收服务费,景山公园,国庆周开票即空,high,0,https://ticket.dpm.org.cn/,,官方明确参观前7日20:00开放预约；官方未授权私人代理
BK002,中国国家博物馆,北京,北京,博物馆,1,国家博物馆公众号,官方公众号,https://www.chnmuseum.cn/,7,-1,fixed_time,1,,5,seckill,1,1,free,0,团队讲解票或改约工作日,首都博物馆,寒暑假与国庆几乎约不到,mid,0,https://www.chnmuseum.cn/,,放票时刻需核实（历史上调整过多次）
BK003,天安门广场,北京,北京,古迹,1,天安门广场预约参观公众号,官方公众号,,-1,-1,rolling,1,,3,hours,1,1,free,0,,前门大街,很多人不知道广场本身就要预约,mid,0,,,提前天数与放票规则待核实
BK004,毛主席纪念堂,北京,北京,纪念馆,1,毛主席纪念堂预约参观,官方公众号,,-1,-1,rolling,1,,3,hours,1,1,free,0,,天安门广场,开放日有限需核实,mid,0,,,开放日与预约窗口待核实
BK005,八达岭长城,北京,北京,古迹,1,八达岭长城官方售票,官方小程序,,-1,-1,rolling,1,,3,hours,1,0,paid,40,慕田峪或箭扣长城人少,慕田峪长城,旺季分时段限流,mid,0,,,提前天数待核实
BK006,北京大学,北京,北京,高校,1,参观北大公众号,官方公众号,,-1,-1,fixed_time,1,,5,seckill,1,1,free,0,,清华大学,寒暑假开放名额极少,mid,0,,,校园参观政策变动频繁必须核实
BK007,清华大学,北京,北京,高校,1,参观清华公众号,官方公众号,,-1,-1,fixed_time,1,,5,seckill,1,1,free,0,,北京大学,寒暑假开放名额极少,mid,0,,,校园参观政策变动频繁必须核实
BK008,颐和园,北京,北京,古迹,1,畅游公园,官方小程序,,-1,-1,rolling,0,,2,relaxed,1,0,paid,30,旺季提前1天通常够,圆明园,,mid,0,,,是否强制预约随政策变动
BK009,莫高窟,敦煌,甘肃,古迹,1,莫高窟参观预约网,官网,https://www.mgk.org.cn/,-1,-1,rolling,1,,5,seckill,1,1,paid,-1,应急票（看窟数量少）或数字展示中心,西千佛洞,旺季正常票需提前约一个月,mid,0,https://www.mgk.org.cn/,,正常票与应急票是两套规则必须分别核实
BK010,甘肃省博物馆,兰州,甘肃,博物馆,1,甘肃省博物馆公众号,官方公众号,,-1,-1,fixed_time,1,,5,seckill,1,1,free,0,,兰州黄河风情线,铜奔马文创爆火后长期难约,mid,0,,,放票时刻待核实
