transit_id,poi_id,city,mode,line_name,station_name,walk_min,taxi_min,taxi_price,note,src_confidence,verified,source_url,last_check_date
T001,P001,成都,地铁,地铁4号线,宽窄巷子,5,,,站名与景点同名最好找,high,0,,
T002,P002,成都,地铁,地铁2号线与3号线,春熙路,8,,,太古里与大慈寺从春熙路站步行可达,high,0,,
T003,P003,成都,地铁,地铁8号线,东郊记忆,3,,,站名与景点同名,mid,0,,
T004,P005,成都,地铁,地铁3号线,高升桥,15,,,武侯祠离地铁略远；步行约 15 分钟或换公交,mid,0,,
T005,P006,成都,地铁,地铁4号线,草堂北路,12,,,杜甫草堂东门方向,mid,0,,
T006,P007,成都,地铁,地铁7号线,金沙博物馆,6,,,站名与景点同名,mid,0,,
T007,P008,成都,地铁,地铁2号线,人民公园,3,,,鹤鸣茶社在人民公园内，进园后再走约 5 分钟,high,0,,
T008,P009,成都,打车,—,—,,15,20,望江楼公园轨道覆盖一般；打车更省事,low,0,,
T009,P011,成都,打车,—,—,,60,120,龙泉山无轨道交通；必须自驾或打车,mid,0,,单程估价往返需议价或用网约车
T010,P012,成都,动车,成灌城际,都江堰,20,,,从成都东站或犀浦站乘城际铁路到都江堰站后换公交或打车,high,0,,
T011,P035,成都,打车,—,—,,40,80,街子古镇需从崇州或都江堰方向换乘；建议自驾,mid,0,,
T012,P013,西安,地铁,地铁3号线,大雁塔,10,,,大唐不夜城在大雁塔南广场一侧,high,0,,
T013,P014,西安,地铁,地铁3号线,大雁塔,8,,,站名与景点同名,high,0,,
T014,P016,西安,地铁,地铁2号线,钟楼,8,,,回民街从钟楼站北院门方向出,high,0,,
T015,P017,西安,公交,游5路或914路,西安火车站东广场,,,,兵马俑无地铁直达；从火车站东广场坐游5路约 1 小时,mid,0,,班次与站点需核实
T016,P018,西安,地铁,地铁2号线,小寨,12,,,陕历博在小寨东路一侧,mid,0,,
T017,P019,西安,地铁,地铁2号线,永宁门,3,,,城墙南门即永宁门；是最主要的登城口,high,0,,
T018,P020,西安,地铁,地铁2号线,南稍门,10,,,小雁塔与西安博物院同一园区,mid,0,,
T019,P021,西安,打车,—,—,,45,90,汉阳陵在城北较远；公共交通不便,mid,0,,
T020,P022,西安,地铁,地铁4号线,大明宫北,8,,,大明宫遗址公园范围很大；注意选对出入口,mid,0,,
T021,P023,西安,打车,—,—,,70,150,水陆庵在蓝田县；建议包车或自驾,low,0,,
T022,P024,杭州,地铁,地铁1号线,龙翔桥,10,,,断桥白堤从龙翔桥站往湖滨方向步行,high,0,,
T023,P025,杭州,公交,4路或涌金门方向公交,净寺,3,,,雷峰塔对面即净慈寺；地铁覆盖一般,mid,0,,
T024,P026,杭州,公交,324路或龙井方向公交,九溪,5,,,九溪烟树需公交或打车；无地铁直达,mid,0,,
T025,P027,杭州,公交,27路或龙井方向公交,龙井村,3,,,龙井村无地铁；建议公交或打车,mid,0,,
T026,P028,杭州,公交,7路或游2线,灵隐,5,,,灵隐寺无地铁直达；节假日公交也很挤,high,0,,
T027,P030,杭州,地铁,地铁1号线,龙翔桥,15,,,苏堤北端从龙翔桥步行；南端建议从净寺方向进,mid,0,,
T028,P033,杭州,地铁,地铁1号线,凤起路,12,,,宝石山从黄龙洞或葛岭登山口上；步行登山约 20 分钟,mid,0,,
T029,P034,杭州,地铁,地铁2号线,良渚,,20,35,良渚站出来还需打车或接驳车约 20 分钟到遗址公园,mid,0,,
T030,P036,杭州,打车,—,—,,35,70,莫干山从德清站打车上山；山路盘旋,mid,0,,
T031,P037,重庆,地铁,地铁1号线与6号线,小什字,8,,,洪崖洞从小什字站步行可达,high,0,,
T032,P038,重庆,地铁,地铁2号线,李子坝,1,,,观景平台就在车站旁,high,0,,
T033,P039,重庆,地铁,地铁1号线,鹅岭,12,,,二厂在鹅岭公园方向；有上坡,mid,0,,
T034,P040,重庆,地铁,地铁1号线,磁器口,5,,,站名与景点同名,high,0,,
T035,P041,重庆,地铁,地铁1号线与2号线,较场口,6,,,解放碑从较场口或小什字均可,high,0,,
T036,P042,重庆,地铁,地铁1号线与6号线,小什字,10,,,与洪崖洞同站可顺路,mid,0,,
T037,P043,重庆,地铁,地铁1号线与2号线,较场口,8,,,从较场口方向进入步道北端,mid,0,,
T038,P044,上海,地铁,地铁2号线与10号线,南京东路,10,,,从南京东路站往外滩方向步行,mid,0,,
T039,P045,上海,地铁,地铁2号线,陆家嘴,3,,,出站即是环形天桥,mid,0,,
T040,P046,上海,地铁,地铁14号线,豫园,5,,,站名与景点同名,mid,0,,
T041,P047,上海,地铁,地铁6号线与18号线,世纪大道或杨高中路,12,,,东馆在浦东花木；与人民广场老馆不是一个地方,mid,0,,
