route_id,from_city,to_city,mode,train_type,station_from,station_to,duration_min,price_min,price_max,frequency,access_min,egress_min,buffer_min,total_min,transfer_note,book_channel,book_tip,src_confidence,verified,source_url,last_check_date,note
R001,上海,杭州,高铁,G,上海虹桥,杭州东,50,73,120,密集,40,35,30,155,直达,12306,平日不紧张；国庆前 15 天起抢,high,0,,,票价为二等座估值需核实
R002,上海,苏州,高铁,G,上海虹桥,苏州,30,40,70,密集,40,30,30,130,直达,12306,班次极密不需抢,high,0,,,同上
R003,上海,南京,高铁,G,上海虹桥,南京南,85,135,220,密集,40,35,30,190,直达,12306,平日不紧张,high,0,,,同上
R004,上海,黄山,高铁,G,上海虹桥,黄山北,165,180,290,较多,40,40,30,275,直达,12306,秋季与国庆紧张,mid,0,,,票价与耗时需核实
R005,上海,北京,高铁,G,上海虹桥,北京南,300,553,1750,密集,40,40,30,410,直达,12306,节前热门；建议提前 10 天,high,0,,,二等座 553 元为长期票价需核实
R006,上海,北京,飞机,—,虹桥或浦东,首都或大兴,130,600,2000,密集,75,80,110,395,直达,航司官网,提前 3 周价格较好,mid,0,,,票价浮动极大只能给区间
R007,上海,成都,飞机,—,虹桥或浦东,天府或双流,180,700,2200,密集,75,80,110,445,直达,航司官网,国庆前价格翻倍；越早越好,mid,0,,,高铁需 11 小时以上不推荐
R008,上海,西安,高铁,G,上海虹桥,西安北,360,670,1100,较多,40,40,30,470,直达,12306,—,mid,0,,,
R009,上海,西安,飞机,—,虹桥或浦东,咸阳,140,600,1800,密集,75,85,110,410,直达,航司官网,与高铁门到门差距不大,mid,0,,,
R010,杭州,黄山,高铁,G,杭州东,黄山北,90,100,160,较多,35,40,30,195,直达,12306,秋季紧张,mid,0,,,
R011,杭州,上海,高铁,G,杭州东,上海虹桥,50,73,120,密集,35,40,30,155,直达,12306,—,high,0,,,
R012,杭州,德清,高铁,D,杭州东,德清,25,20,40,较多,35,30,30,120,到站后需打车约 30 分钟上莫干山,12306,周末民宿旺季,mid,0,,,莫干山接驳是主要耗时
R013,杭州,桐庐,高铁,G,杭州东,桐庐,30,25,50,较多,35,30,30,125,直达,12306,—,mid,0,,,
R014,北京,西安,高铁,G,北京西,西安北,300,515,840,密集,45,40,30,415,直达,12306,节前紧张；提前 10 天,high,0,,,二等座 515 元为长期票价需核实
R015,北京,西安,飞机,—,首都或大兴,咸阳,130,550,1700,密集,85,85,110,410,直达,航司官网,门到门与高铁基本持平,mid,0,,,
R016,西安,成都,高铁,G,西安北,成都东,240,263,430,较多,40,40,30,350,直达,12306,西成高铁穿秦岭；风景好,high,0,,,票价需核实
R017,成都,重庆,高铁,G,成都东,重庆北,90,154,250,密集,40,35,30,195,直达,12306,班次密不需抢,high,0,,,
R018,成都,都江堰,动车,D,成都东或犀浦,都江堰,40,15,25,密集,35,20,20,115,城际铁路票价低；也可从犀浦站上车,12306,当天买得到,high,0,,,适合一日往返
R019,成都,乐山,高铁,G,成都东,乐山,70,60,100,较多,40,30,30,170,去犍为小火车需从乐山换乘汽车约 1.5 小时,12306,油菜花期紧张,mid,0,,,
R020,广州,深圳,高铁,G,广州南,深圳北,35,75,120,密集,40,35,30,140,直达,12306,班次极密,high,0,,,
